path,top_dir,biz_category,code_kind,language,effective_loc
gui/remote_hub_client.go,gui,Backend/Core,prod,Go,1202
gui/remote_hub_client_test.go,gui,Backend/Core,test,Go,433
gui/remote_image_helpers.go,gui,Backend/Core,prod,Go,46
gui/remote_machine_profile.go,gui,Backend/Core,prod,Go,46
gui/remote_mobile_launch.go,gui,Backend/Core,prod,Go,195
gui/remote_mobile_launch_bugfix_test.go,gui,Backend/Core,test,Go,89
gui/remote_mobile_launch_preservation_test.go,gui,Backend/Core,test,Go,216
gui/remote_mobile_launch_test.go,gui,Backend/Core,test,Go,116
gui/remote_mode_hash.go,gui,Backend/Core,prod,Go,19
gui/remote_mode_hash_test.go,gui,Backend/Core,test,Go,51
gui/remote_output_pipeline.go,gui,Backend/Core,prod,Go,324
gui/remote_permission.go,gui,Backend/Core,prod,Go,281
gui/remote_permission_test.go,gui,Backend/Core,test,Go,250
gui/remote_platform_name.go,gui,Backend/Core,prod,Go,5
gui/remote_platform_other.go,gui,Backend/Core,prod,Go,11
gui/remote_platform_windows.go,gui,Backend/Core,prod,Go,76
gui/remote_preview_buffer.go,gui,Backend/Core,prod,Go,47
gui/remote_pty_interactive_test.go,gui,Backend/Core,test,Go,462
gui/remote_pty_windows.go,gui,Backend/Core,prod,Go,219
gui/remote_pty_windows_test.go,gui,Backend/Core,test,Go,148
gui/remote_screenshot.go,gui,Backend/Core,prod,Go,876
gui/remote_screenshot_test.go,gui,Backend/Core,test,Go,485
gui/remote_sdk_types.go,gui,Backend/Core,prod,Go,187
gui/remote_sdk_types_test.go,gui,Backend/Core,test,Go,381
gui/remote_session_manager.go,gui,Backend/Core,prod,Go,1271
gui/remote_session_manager_image_test.go,gui,Backend/Core,test,Go,612
gui/remote_session_manager_test.go,gui,Backend/Core,test,Go,816
gui/remote_smoke.go,gui,Backend/Core,prod,Go,472
gui/remote_smoke_test.go,gui,Backend/Core,test,Go,26
gui/remote_startup_responder.go,gui,Backend/Core,prod,Go,177
gui/remote_startup_responder_test.go,gui,Backend/Core,test,Go,133
gui/remote_status.go,gui,Backend/Core,prod,Go,521
gui/remote_status_test.go,gui,Backend/Core,test,Go,812
gui/remote_summary_reducer.go,gui,Backend/Core,prod,Go,154
gui/remote_summary_reducer_test.go,gui,Backend/Core,test,Go,57
gui/remote_tool_adapter.go,gui,Backend/Core,prod,Go,6
gui/remote_tool_catalog.go,gui,Backend/Core,prod,Go,318
gui/remote_tool_catalog_test.go,gui,Backend/Core,test,Go,77
gui/remote_tool_claude.go,gui,Backend/Core,prod,Go,139
gui/remote_tool_claude_test.go,gui,Backend/Core,test,Go,53
gui/remote_tool_codebuddy.go,gui,Backend/Core,prod,Go,43
gui/remote_tool_codex.go,gui,Backend/Core,prod,Go,61
gui/remote_tool_iflow.go,gui,Backend/Core,prod,Go,61
gui/remote_tool_kilo.go,gui,Backend/Core,prod,Go,104
gui/remote_tool_opencode.go,gui,Backend/Core,prod,Go,51
gui/remote_types.go,gui,Backend/Core,prod,Go,196
gui/remote_workspace.go,gui,Backend/Core,prod,Go,271
gui/remote_workspace_test.go,gui,Backend/Core,test,Go,128
gui/resources_darwin.go,gui,Backend/Core,prod,Go,3
gui/resources_linux.go,gui,Backend/Core,prod,Go,3
gui/resources_windows.go,gui,Backend/Core,prod,Go,3
gui/risk_assessor.go,gui,Backend/Core,prod,Go,153
gui/risk_assessor_test.go,gui,Backend/Core,test,Go,140
gui/scheduled_task.go,gui,Backend/Core,prod,Go,513
gui/scheduled_task_calendar.go,gui,Backend/Core,prod,Go,123
gui/screen_dim.go,gui,Backend/Core,prod,Go,52
gui/screen_dim_darwin.go,gui,Backend/Core,prod,Go,35
gui/screen_dim_linux.go,gui,Backend/Core,prod,Go,1
gui/screen_dim_windows.go,gui,Backend/Core,prod,Go,46
gui/screen_permission_darwin.go,gui,Backend/Core,prod,Go,77
gui/screen_permission_other.go,gui,Backend/Core,prod,Go,8
gui/screenshot_native_other.go,gui,Backend/Core,prod,Go,5
gui/screenshot_native_windows.go,gui,Backend/Core,prod,Go,111
gui/security_firewall.go,gui,Backend/Core,prod,Go,130
gui/security_risk_analyzer.go,gui,Backend/Core,prod,Go,204
gui/security_risk_analyzer_test.go,gui,Backend/Core,test,Go,141
gui/session_checkpoint.go,gui,Backend/Core,prod,Go,151
gui/session_checkpoint_test.go,gui,Backend/Core,test,Go,263
gui/session_completion_analyzer.go,gui,Backend/Core,prod,Go,74
gui/session_context_resolver.go,gui,Backend/Core,prod,Go,85
gui/session_io_relay.go,gui,Backend/Core,prod,Go,65
gui/session_io_relay_test.go,gui,Backend/Core,test,Go,158
gui/session_monitor.go,gui,Backend/Core,prod,Go,170
gui/session_monitor_test.go,gui,Backend/Core,test,Go,180
gui/session_precheck.go,gui,Backend/Core,prod,Go,120
gui/session_stall_detector.go,gui,Backend/Core,prod,Go,200
gui/session_startup_feedback.go,gui,Backend/Core,prod,Go,62
gui/session_template.go,gui,Backend/Core,prod,Go,132
gui/session_template_test.go,gui,Backend/Core,test,Go,107
gui/shared_context.go,gui,Backend/Core,prod,Go,52
gui/skill_agent_compat.go,gui,Backend/Core,prod,Go,193
gui/skill_backup.go,gui,Backend/Core,prod,Go,281
gui/skill_evaluator.go,gui,Backend/Core,prod,Go,31
gui/skill_evaluator_test.go,gui,Backend/Core,test,Go,55
gui/skill_runner.go,gui,Backend/Core,prod,Go,510
gui/skill_searcher.go,gui,Backend/Core,prod,Go,90
gui/skill_security_policy.go,gui,Backend/Core,prod,Go,65
gui/skillhub_client.go,gui,Backend/Core,prod,Go,434
gui/skillmarket_client.go,gui,Backend/Core,prod,Go,259
gui/swarm_agent_scheduler.go,gui,Backend/Core,prod,Go,422
gui/swarm_agent_scheduler_test.go,gui,Backend/Core,test,Go,160
gui/swarm_conflict.go,gui,Backend/Core,prod,Go,74
gui/swarm_conflict_test.go,gui,Backend/Core,test,Go,147
gui/swarm_doc_generator.go,gui,Backend/Core,prod,Go,291
gui/swarm_doc_generator_test.go,gui,Backend/Core,test,Go,307
gui/swarm_llm.go,gui,Backend/Core,prod,Go,21
gui/swarm_merge.go,gui,Backend/Core,prod,Go,84
gui/swarm_merge_test.go,gui,Backend/Core,test,Go,57
gui/swarm_notifier.go,gui,Backend/Core,prod,Go,179
gui/swarm_notifier_test.go,gui,Backend/Core,test,Go,367
gui/swarm_orchestrator.go,gui,Backend/Core,prod,Go,321
gui/swarm_orchestrator_test.go,gui,Backend/Core,test,Go,93
gui/swarm_pipeline.go,gui,Backend/Core,prod,Go,236
gui/swarm_pipeline_greenfield.go,gui,Backend/Core,prod,Go,450
gui/swarm_prompts.go,gui,Backend/Core,prod,Go,194
gui/swarm_prompts_test.go,gui,Backend/Core,test,Go,89
gui/swarm_reporter.go,gui,Backend/Core,prod,Go,160
gui/swarm_reporter_test.go,gui,Backend/Core,test,Go,232
gui/swarm_spec_pipeline_test.go,gui,Backend/Core,test,Go,167
gui/swarm_task_verifier_test.go,gui,Backend/Core,test,Go,107
gui/swarm_tdd_test.go,gui,Backend/Core,test,Go,346
gui/swarm_types_test.go,gui,Backend/Core,test,Go,18
